Taylor Lambert,Indiana
Gabbi Jenkins,Indiana
Maddie Westmoreland,Indiana
Brittany Ford,Indiana
Grayson Radcliffe,Indiana
Katie Lacefield,Indiana
Paige Chitwood,Indiana
Bella Norton,Indiana
Juvia Davis,Indiana
Annika Baez,Indiana
Sarah Galovich,Indiana
Tete Hart,Indiana
Camryn Woodall,Indiana
Tara Trainer,Indiana
JoJo McRae,Maryland
Caitlyn Koenig,Maryland
Amanda Brashear,Maryland
Anna Kufta,Maryland
Sammie Stefan,Maryland
Taylor Wilson,Maryland
Gracie Voulgaris,Maryland
Bailey Boyd,Maryland
Micaela Abbatine,Maryland
Regan Kerr,Maryland
Kiana Carr,Maryland
Victoria Galvan,Maryland
Faith Canfield,Michigan
Natalie Peters,Michigan
Lexie Blair,Michigan
Alex Sobczak,Michigan
Grace Chelemen,Michigan
Madison Uden,Michigan
Mackenzie Nemitz,Michigan
Gianna Carosone,Michigan
Taylor Bump,Michigan
Haley Hoogenraad,Michigan
Abby Skvarce,Michigan
Katie Alexander,Michigan
Natalia Rodriguez,Michigan
Lou Allan,Michigan
Meghan Beaubien,Michigan
Alex Storako,Michigan
Caitie Ladd,Michigan State
Charla Echols,Michigan State
MacKenzie Meech,Michigan State
Ebonee Echols,Michigan State
Melanie Baccay,Michigan State
Kaitlyn Eveland,Michigan State
Katie Quinlan,Michigan State
Courtney Callahan,Michigan State
Kelly Zackrison,Michigan State
Laney Joyner,Michigan State
Joanna Bartz,Michigan State
McKenna Gregory,Michigan State
Alli Walker,Michigan State
Jordan Watson,Michigan State
Bri Betschel,Ohio State
Lilli Piper,Ohio State
Emily Clark,Ohio State
Ashley Prange,Ohio State
Niki Carver,Ohio State
Kaitlyn Coffman,Ohio State
Claire Nicholson,Ohio State
Kallie Boren,Ohio State
Summer Constable,Ohio State
Spencer Sansom,Ohio State
Megan McMenemy,Ohio State
Meg Otte,Ohio State
Lauren Rice,Ohio State
Kat Duvall,Ohio State
 Polk,Penn State
 Swedberg,Penn State
 Grieco,Penn State
 Bisi,Penn State
 Weber,Penn State
 Dubois,Penn State
 Kurland,Penn State
 Crouthamel,Penn State
M. Williams,Penn State
 Fey,Penn State
 Livingston,Penn State
 Vallejos,Penn State
 Parshall,Penn State
 Lingenfelter,Penn State
J Hughes,Rutgers
K Wingert,Rutgers
C Keefer,Rutgers
 Iliopoulos,Rutgers
A Marra,Rutgers
N Bowman,Rutgers
E Collins,Rutgers
 Hoklotubbe,Rutgers
M Moy,Rutgers
P Russ,Rutgers
A Burcar,Rutgers
M Cole,Rutgers
N Anico,Rutgers
C Malito,Rutgers
C Price,Rutgers
A. BOGAR,Iowa
D. MAYHEW,Iowa
C. CECIL,Iowa
A. LIEN,Iowa
M. SCHULTE,Iowa
S. OWENS,Iowa
L. THOMPSON,Iowa
A. HAMILTON,Iowa
H. MONTEER,Iowa
S. LEHMAN,Iowa
A. DOOCY,Iowa
 Partain,Minnesota
 Houlihan,Minnesota
 Brandner,Minnesota
 DenHartog,Minnesota
 Burns,Minnesota
 Arneson,Minnesota
 Kemetmueller,Minnesota
 Lindner,Minnesota
 Chell,Minnesota
 Brandt,Minnesota
 Fiser,Minnesota
Alyvia Simmons,Nebraska
Tristen Edwards,Nebraska
Lindsey Walljasper,Nebraska
Samantha Owen,Nebraska
Sarah Yocom,Nebraska
Courtney Wallace,Nebraska
Peyton Glatter,Nebraska
Bree Boruff,Nebraska
Bri Cassidy,Nebraska
Anni Raley,Nebraska
Lexey Kneib,Nebraska
Madi Unzicker,Nebraska
Rylie Unzicker,Nebraska
Regan Mergele,Nebraska
Rachel Lewis,Northwestern
Morgan Nelson,Northwestern
Maeve Nelson,Northwestern
Nikki Cuchran,Northwestern
Eva Stees,Northwestern
Jordyn Rudd,Northwestern
Morgan Newport,Northwestern
Emma Bartz,Northwestern
Lily Novak,Northwestern
Danielle Williams,Northwestern
Skyler Shellmyer,Northwestern
Mac Dunlap,Northwestern
RACHEL BECKER,Purdue
MALLORY BAKER,Purdue
JENNY BEHAN,Purdue
LEXI HUFFMAN,Purdue
RACHEL KRZYSKO,Purdue
KAITLYNN MOODY,Purdue
MOLLY MEENAN,Purdue
MADISON DOUGLASS,Purdue
BECCA JONES,Purdue
RYLEE PLATUSIC,Purdue
KASEY WILHOIT,Purdue
KAELEY HALLADA,Purdue
ALEXA BINCKES,Purdue
HALLE HIXENBAUGH,Purdue
MADDIE DAMON,Purdue
SYDNEY BATES,Purdue
Annie Fleming,Illinois
Kiana Sherlund,Illinois
Carly Thomas,Illinois
Veronica Ruelius,Illinois
Bella Loya,Illinois
Stephanie Abello,Illinois
Kailee Powell,Illinois
Maddison Demers,Illinois
Shelby Stauffenberg,Illinois
Rhein Trochim,Illinois
Katie Wingerter,Illinois
Alexis Carrillo,Illinois
Avrey Steiner,Illinois
Taylor Edwards,Illinois
